"site1"	"site2"	"ibd_binary"	"ibd_source_fontsere_etal_2022"	"nepra_proportion"
"414"	"Kayan"	"Outamba-Kilimi"	NA	"0"	0.001371436
"415"	"Bwindi"	"Outamba-Kilimi"	NA	"0"	4.95e-05
"416"	"Gashaka"	"Outamba-Kilimi"	NA	"0"	0.000120155
"417"	"Comoe"	"Outamba-Kilimi"	NA	"0"	0.001432679
"418"	"Boe"	"Outamba-Kilimi"	NA	"0"	0.001379564
"419"	"Kabogo"	"Outamba-Kilimi"	NA	"0"	1.38e-05
"420"	"Korup"	"Outamba-Kilimi"	NA	"0"	3.88e-05
"421"	"Nyungwe"	"Outamba-Kilimi"	NA	"0"	6.76e-05
"422"	"Grebo"	"Outamba-Kilimi"	NA	"0"	0.00134283
"423"	"Goualougo"	"Outamba-Kilimi"	NA	"0"	5.81e-05
"424"	"Mbe"	"Outamba-Kilimi"	NA	"0"	5.26e-05
"425"	"Bili-Uele"	"Outamba-Kilimi"	NA	"0"	3.05e-05
"426"	"Djouroutou"	"Outamba-Kilimi"	NA	"0"	0.00055249
"427"	"Dindefelo"	"Outamba-Kilimi"	NA	"0"	0.001055672
"428"	"Bafing"	"Outamba-Kilimi"	NA	"0"	0.000445912
"429"	"Lope"	"Outamba-Kilimi"	NA	"0"	5.29e-05
"430"	"Budongo"	"Outamba-Kilimi"	NA	"0"	6.35e-05
"431"	"Conkouati"	"Outamba-Kilimi"	NA	"0"	0.000105306
"432"	"Issa-Ugalla"	"Outamba-Kilimi"	NA	"0"	0.000115803
"433"	"Mt. Sangbe"	"Outamba-Kilimi"	NA	"0"	0.000245136
"434"	"Mt. Cristal"	"Outamba-Kilimi"	NA	"0"	9.02e-05
"435"	"Gishwati"	"Outamba-Kilimi"	NA	"0"	4.83e-05
"436"	"East Nimba"	"Outamba-Kilimi"	NA	"0"	0.000893668
"437"	"Bateke"	"Outamba-Kilimi"	NA	"0"	5.82e-06
"438"	"La Belgique"	"Outamba-Kilimi"	NA	"0"	1.84e-05
"439"	"Mt. Cameroon"	"Outamba-Kilimi"	NA	"0"	1.17e-05
"440"	"Boe"	"Rubi-Tele"	0	"0"	0.000162971
"441"	"Comoe"	"Rubi-Tele"	0	"0"	0.000225623
"442"	"Goualougo"	"Rubi-Tele"	0	"0"	0.000929861
"443"	"Kabogo"	"Rubi-Tele"	0	"0"	0.000542993
"444"	"Kayan"	"Rubi-Tele"	0	"0"	0.000171076
"445"	"Bwindi"	"Rubi-Tele"	1	"tableS9"	0.002553616
"446"	"Korup"	"Rubi-Tele"	0	"0"	0.000228667
"447"	"Mt. Cristal"	"Rubi-Tele"	0	"0"	0.001295868
"448"	"Budongo"	"Rubi-Tele"	1	"tableS9"	0.002887602
"449"	"Gashaka"	"Rubi-Tele"	0	"0"	0.000567915
"450"	"Dindefelo"	"Rubi-Tele"	0	"0"	7.4e-05
"451"	"Mbe"	"Rubi-Tele"	0	"0"	0.000221766
"452"	"Mt. Cameroon"	"Rubi-Tele"	0	"0"	7.5e-05
"453"	"Lope"	"Rubi-Tele"	0	"0"	0.000567675
"454"	"Gishwati"	"Rubi-Tele"	0	"0"	0.002709717
"455"	"Outamba-Kilimi"	"Rubi-Tele"	NA	"0"	2.61e-05
"456"	"Issa-Ugalla"	"Rubi-Tele"	0	"0"	0.002192478
"457"	"Nyungwe"	"Rubi-Tele"	1	"figS93"	0.003046634
"458"	"Djouroutou"	"Rubi-Tele"	0	"0"	4.08e-05
"459"	"Loango"	"Rubi-Tele"	0	"0"	0.000945584
"460"	"Conkouati"	"Rubi-Tele"	0	"0"	0.00107467
"461"	"Ngogo"	"Rubi-Tele"	1	"tableS9"	0.004581704
"462"	"Bili-Uele"	"Rubi-Tele"	0	"0"	0.001914907
"463"	"Grebo"	"Rubi-Tele"	0	"0"	0.000166836
"464"	"Bafing"	"Rubi-Tele"	0	"0"	4.02e-05
"465"	"La Belgique"	"Rubi-Tele"	0	"0"	0.000146857
"466"	"Mt. Sangbe"	"Rubi-Tele"	0	"0"	3.99e-05
"467"	"East Nimba"	"Rubi-Tele"	0	"0"	8.67e-05
"468"	"Bateke"	"Rubi-Tele"	0	"0"	9.76e-05
"469"	"Kabogo"	"Sangaredi"	0	"0"	2.61e-05
"470"	"Issa-Ugalla"	"Sangaredi"	0	"0"	0.000286808
"471"	"Gashaka"	"Sangaredi"	0	"0"	0.000315264
"472"	"Djouroutou"	"Sangaredi"	1	"tableS9"	0.000962151
"473"	"Mt. Cristal"	"Sangaredi"	0	"0"	0.000189059
"474"	"Dindefelo"	"Sangaredi"	1	"tableS9"	0.002494386
"475"	"Mt. Cameroon"	"Sangaredi"	0	"0"	2.1e-05
"476"	"Conkouati"	"Sangaredi"	0	"0"	0.000227243
"477"	"La Belgique"	"Sangaredi"	0	"0"	1.34e-05
"478"	"Mbe"	"Sangaredi"	0	"0"	0.000116329
"479"	"Nyungwe"	"Sangaredi"	0	"0"	0.000154142
"480"	"Goualougo"	"Sangaredi"	0	"0"	0.000104888
"481"	"Budongo"	"Sangaredi"	0	"0"	0.000131323
"482"	"Kayan"	"Sangaredi"	1	"tableS9"	0.002978973
"483"	"Loango"	"Sangaredi"	0	"0"	0.000198773
"484"	"Lope"	"Sangaredi"	0	"0"	7.57e-05
"485"	"Gishwati"	"Sangaredi"	0	"0"	0.000147856
"486"	"Grebo"	"Sangaredi"	1	"tableS9"	0.002446544
"487"	"East Nimba"	"Sangaredi"	1	"tableS9"	0.00171838
"488"	"Outamba-Kilimi"	"Sangaredi"	NA	"0"	0.000750799
"489"	"Rubi-Tele"	"Sangaredi"	0	"0"	5.15e-05
"490"	"Boe"	"Sangaredi"	1	"tableS9"	0.0038817
"491"	"Korup"	"Sangaredi"	0	"0"	9.44e-05
"492"	"Bateke"	"Sangaredi"	0	"0"	1.15e-05
"493"	"Ngogo"	"Sangaredi"	0	"0"	0.000383623
"494"	"Bili-Uele"	"Sangaredi"	0	"0"	5.91e-05
"495"	"Bwindi"	"Sangaredi"	0	"0"	0.000116547
"496"	"Bafing"	"Sangaredi"	1	"tableS9"	0.001161407
"497"	"Comoe"	"Sangaredi"	1	"tableS9"	0.002631654
"498"	"Mt. Sangbe"	"Sangaredi"	1	"tableS9"	0.001032377
"499"	"East Nimba"	"Sapo"	1	"tableS9"	0.003162047
"500"	"Bateke"	"Sapo"	0	"0"	2.88e-05
"501"	"La Belgique"	"Sapo"	0	"0"	3.65e-05
"502"	"Issa-Ugalla"	"Sapo"	0	"0"	0.001377559
"503"	"Boe"	"Sapo"	1	"tableS9"	0.004273209
"504"	"Gishwati"	"Sapo"	0	"0"	0.000369602
"505"	"Loango"	"Sapo"	0	"0"	0.000749171
"506"	"Bwindi"	"Sapo"	0	"0"	0.000281464
"507"	"Comoe"	"Sapo"	1	"tableS9"	0.005686498
"508"	"Dindefelo"	"Sapo"	1	"tableS9"	0.002058657
"509"	"Korup"	"Sapo"	0	"0"	0.000451168
"510"	"Bili-Uele"	"Sapo"	0	"0"	0.000118803
"511"	"Djouroutou"	"Sapo"	1	"tableS9"	0.002097765
"512"	"Rubi-Tele"	"Sapo"	0	"0"	0.000116586
"513"	"Kabogo"	"Sapo"	0	"0"	5.21e-05
"514"	"Mt. Cameroon"	"Sapo"	0	"0"	3.37e-05
"515"	"Sangaredi"	"Sapo"	1	"tableS9"	0.001694838
"516"	"Conkouati"	"Sapo"	0	"0"	0.000909155
"517"	"Ngogo"	"Sapo"	0	"0"	0.001832667
"518"	"Budongo"	"Sapo"	0	"0"	0.000371782
"519"	"Bafing"	"Sapo"	1	"tableS9"	0.001010304
"520"	"Mt. Cristal"	"Sapo"	0	"0"	0.000448375
"521"	"Kayan"	"Sapo"	1	"tableS9"	0.004170061
"522"	"Mbe"	"Sapo"	0	"0"	0.00027445
"523"	"Grebo"	"Sapo"	1	"tableS9"	0.007407454
"524"	"Mt. Sangbe"	"Sapo"	0	"0"	0.001326755
"525"	"Outamba-Kilimi"	"Sapo"	NA	"0"	0.000918046
"526"	"Goualougo"	"Sapo"	0	"0"	0.000266757
"527"	"Gashaka"	"Sapo"	0	"0"	0.001532359
"528"	"Lope"	"Sapo"	0	"0"	0.000159189
"529"	"Nyungwe"	"Sapo"	0	"0"	0.000423847
"530"	"Mt. Sangbe"	"Sobeya"	0	"0"	0.001087975
"531"	"Kabogo"	"Sobeya"	0	"0"	4.99e-05
"532"	"Bwindi"	"Sobeya"	0	"0"	0.000288891
"533"	"Dindefelo"	"Sobeya"	1	"tableS9"	0.003090894
"534"	"Mbe"	"Sobeya"	0	"0"	0.000308436
"535"	"Rubi-Tele"	"Sobeya"	0	"0"	0.000135969
"536"	"Djouroutou"	"Sobeya"	1	"tableS9"	0.001577259
"537"	"Boe"	"Sobeya"	1	"tableS9"	0.005604659
"538"	"Loango"	"Sobeya"	0	"0"	0.000792942
"539"	"Lope"	"Sobeya"	0	"0"	0.000154038
"540"	"Grebo"	"Sobeya"	1	"tableS9"	0.005579554
"541"	"Sapo"	"Sobeya"	1	"tableS9"	0.003484328
"542"	"Bili-Uele"	"Sobeya"	0	"0"	0.000137011
"543"	"Bafing"	"Sobeya"	1	"tableS9"	0.0015757
"544"	"Gishwati"	"Sobeya"	0	"0"	0.000414089
"545"	"Gashaka"	"Sobeya"	0	"0"	0.001651637
"546"	"Conkouati"	"Sobeya"	0	"0"	0.000858937
"547"	"Korup"	"Sobeya"	0	"0"	0.00042631
"548"	"Goualougo"	"Sobeya"	0	"0"	0.000262783
"549"	"Mt. Cameroon"	"Sobeya"	0	"0"	4.42e-05
"550"	"Bateke"	"Sobeya"	0	"0"	2.65e-05
"551"	"Budongo"	"Sobeya"	0	"0"	0.000368688
"552"	"Mt. Cristal"	"Sobeya"	0	"0"	0.000405773
"553"	"La Belgique"	"Sobeya"	0	"0"	2.55e-05
"554"	"Comoe"	"Sobeya"	1	"tableS9"	0.005418404
"555"	"Nyungwe"	"Sobeya"	0	"0"	0.000456854
"556"	"East Nimba"	"Sobeya"	1	"tableS9"	0.002808703
"557"	"Sangaredi"	"Sobeya"	1	"tableS9"	0.002289259
"558"	"Issa-Ugalla"	"Sobeya"	0	"0"	0.001426303
"559"	"Kayan"	"Sobeya"	1	"tableS9"	0.005320886
"560"	"Ngogo"	"Sobeya"	0	"0"	0.001852654
"561"	"Outamba-Kilimi"	"Sobeya"	NA	"0"	0.001213059
"562"	"Dindefelo"	"Tai"	1	"tableS9"	0.002050037
"563"	"Conkouati"	"Tai"	0	"0"	0.000530946
"564"	"Lope"	"Tai"	0	"0"	0.000120005
"565"	"Mbe"	"Tai"	0	"0"	0.000221045
"566"	"Mt. Cameroon"	"Tai"	0	"0"	2.79e-05
"567"	"Bafing"	"Tai"	0	"0"	0.001010838
"568"	"East Nimba"	"Tai"	1	"tableS9"	0.003329164
"569"	"Kabogo"	"Tai"	0	"0"	4.08e-05
"570"	"Bwindi"	"Tai"	0	"0"	0.000152987
"571"	"Loango"	"Tai"	0	"0"	0.000456665
"572"	"Budongo"	"Tai"	0	"0"	0.000255173
"573"	"Grebo"	"Tai"	1	"tableS9"	0.005503359
"574"	"Gashaka"	"Tai"	0	"0"	0.000900302
"575"	"Issa-Ugalla"	"Tai"	0	"0"	0.000758635
"576"	"La Belgique"	"Tai"	0	"0"	1.7e-05
"577"	"Korup"	"Tai"	0	"0"	0.000249063
"578"	"Bateke"	"Tai"	0	"0"	2.08e-05
"579"	"Goualougo"	"Tai"	0	"0"	0.000178349
"580"	"Bili-Uele"	"Tai"	0	"0"	7.07e-05
"581"	"Mt. Cristal"	"Tai"	0	"0"	0.000268042
"582"	"Bakoun-Sobory"	"Tai"	1	"tableS9"	0.003970224
"583"	"Nyungwe"	"Tai"	0	"0"	0.000261517
"584"	"Ngogo"	"Tai"	0	"0"	0.000975786
"585"	"Boe"	"Tai"	1	"tableS9"	0.003570967
"586"	"Comoe"	"Tai"	1	"tableS9"	0.004892365
"587"	"Outamba-Kilimi"	"Tai"	NA	"0"	0.000828247
"588"	"Kayan"	"Tai"	1	"tableS9"	0.003569292
"589"	"Gishwati"	"Tai"	0	"0"	0.000253332
"590"	"Mt. Sangbe"	"Tai"	0	"0"	0.001298704
"591"	"Rubi-Tele"	"Tai"	0	"0"	8.67e-05
"592"	"Djouroutou"	"Tai"	1	"tableS9"	0.002330818
"593"	"Sangaredi"	"Tai"	1	"tableS9"	0.0016856
"594"	"Sapo"	"Tai"	1	"tableS9"	0.003974619
"595"	"Sobeya"	"Tai"	1	"tableS9"	0.003086041
